BJD - 2454833, Corrected Flux
2307.550390594, 0.999898318,
2307.570822628, 0.999923417,
2307.591254762, 0.999968106,
2307.611686695, 1.000018903,
2307.632118727, 0.999937426,
2307.652550859, 0.999982763,
2307.672982791, 0.999931746,
2307.693414822, 0.999971503,
2307.713846953, 1.000056745,
2307.734278884, 0.999995646,
2307.754711014, 1.000007973,
2307.775143043, 1.000058441,
2307.795574973, 1.000088911,
2307.816007102, 1.000101647,
2307.836439130, 1.000082104,
2307.856871058, 1.000124724,
2307.877303185, 1.000127882,
2307.897735213, 1.000074583,
2307.918167239, 1.000022820,
2307.938599266, 1.000012887,
2307.959031291, 1.000082259,
2307.979463317, 0.999993342,
2307.999895342, 1.000135426,
2308.020327367, 1.000058813,
2308.040759391, 0.999986348,
2308.061191515, 0.999973400,
2308.081623438, 1.000025742,
2308.102055561, 1.000022836,
2308.122487484, 0.999996382,
2308.142919506, 0.999991729,
2308.163351628, 0.999907741,
2308.183783549, 0.999961279,
2308.204215570, 0.999942327,
2308.224647691, 0.999936031,
2308.245079611, 0.999987777,
2308.265511631, 0.999967096,
2308.285943750, 0.999945365,
2308.306375669, 0.999881295,
2308.326807687, 0.999921575,
2308.347239805, 0.999827092,
2308.367671723, 0.999870018,
2308.388103740, 0.999832360,
2308.408535857, 0.999910716,
2308.428967874, 0.999870876,
2308.449399789, 0.999727879,
2308.469831905, 0.999792173,
2308.490263920, 0.999803829,
2308.531127949, 0.999797145,
2308.551559963, 0.999834255,
2308.571991977, 0.999782009,
2308.592423990, 0.999769929,
2308.612856003, 0.999784390,
2308.633288115, 0.999742235,
2308.653720027, 0.999769674,
2308.674152039, 0.999771339,
2308.694584150, 0.999798800,
2308.715016061, 0.999790889,
2308.735448071, 0.999822743,
2308.755880181, 0.999820268,
2308.776312090, 0.999794609,
2308.796744099, 0.999801059,
2308.817176208, 0.999788637,
2308.837608116, 0.999780024,
2308.858040124, 0.999767738,
2308.878472232, 0.999690313,
2308.898904139, 0.999644075,
2308.919336245, 0.999562193,
2308.939768151, 0.999544727,
2308.960200157, 0.999490157,
2308.980632263, 0.999511457,
2309.001064268, 0.999578260,
2309.021496173, 0.999592466,
2309.041928277, 0.999637558,
2309.062360281, 0.999678772,
2309.082792184, 0.999701558,
2309.103224287, 0.999663539,
2309.123656289, 0.999576273,
2309.144088192, 0.999608082,
2309.164520293, 0.999587161,
2309.184952295, 0.999633358,
2309.205384196, 0.999615301,
2309.225816297, 0.999647688,
2309.246248297, 0.999607179,
2309.266680297, 0.999612029,
2309.287112296, 0.999603195,
2309.307544295, 0.999541703,
2309.327976293, 0.999660755,
2309.348408292, 0.999648038,
2309.368840290, 0.999597829,
2309.389272387, 0.999696017,
2309.409704284, 0.999604748,
2309.430136280, 0.999588579,
2309.450568377, 0.999615984,
2309.471000372, 0.999551864,
2309.511864363, 0.999323616,
2309.532296357, 0.999516290,
2309.552728252, 0.999526126,
2309.573160346, 0.999428445,
2309.593592339, 0.999531747,
2309.614024232, 0.999448740,
2309.634456325, 0.999408065,
2309.654888217, 0.999447721,
2309.675320208, 0.999509234,
2309.695752300, 0.999567171,
2309.716184191, 0.999542278,
2309.736616182, 0.999534036,
2309.757048272, 0.999612062,
2309.777480162, 0.999668427,
2309.797912151, 0.999599576,
2309.818344240, 0.999704070,
2309.838776229, 0.999610066,
2309.859208217, 0.999652793,
2309.879640205, 0.999652226,
2309.900072192, 0.999742180,
2309.920504279, 0.999675344,
2309.940936166, 0.999630803,
2309.961368152, 0.999691619,
2309.981800238, 0.999664168,
2310.002232124, 0.999572896,
2310.022664109, 0.999668306,
2310.043096194, 0.999652987,
2310.063528078, 0.999639581,
2310.083960062, 0.999570935,
2310.104392145, 0.999621778,
2310.124824028, 0.999555023,
2310.145256011, 0.999578652,
2310.165688093, 0.999544724,
2310.186119975, 0.999629602,
2310.206551957, 0.999680673,
2310.226984038, 0.999584936,
2310.247415919, 0.999610438,
2310.267847899, 0.999664605,
2310.288279979, 0.999648621,
2310.308711959, 0.999660742,
2310.329143938, 0.999778965,
2310.349575917, 0.999627145,
2310.370007795, 0.999507297,
2310.390439873, 0.999618007,
2310.410871851, 0.999591756,
2310.431303728, 0.999642901,
2310.451735805, 0.999577254,
2310.492599658, 0.999656529,
2310.513031733, 0.999697039,
2310.533463708, 0.999600506,
2310.553895584, 0.999621497,
2310.574327658, 0.999593039,
2310.594759632, 0.999627474,
